Downcast,Hour,minute,second,s/1000,Count,App_in_hse
6,19,52,18,800,0,8
6,19,52,19,551,0,0
6,19,52,19,666,0,0
6,19,52,20,12,0,0
6,19,52,20,647,0,0
6,19,52,20,878,0,0
6,19,52,20,936,0,0
6,19,52,23,244,0,0
6,19,52,23,302,0,0
6,19,52,26,188,0,0
6,19,52,26,592,0,0
6,19,52,26,823,0,0
6,19,52,27,457,0,0
6,19,52,28,958,0,0
6,19,52,30,920,0,0
6,19,52,32,594,0,0
6,19,52,33,806,0,0
6,19,52,35,653,0,0
6,19,52,20,128,0,2
6,19,52,21,282,0,6
6,19,52,22,436,0,2
6,19,52,23,591,0,3
6,19,52,24,745,0,4
6,19,52,25,899,0,2
6,19,52,27,53,0,4
6,19,52,28,208,0,5
6,19,52,29,362,0,2
6,19,52,30,516,0,1
6,19,52,32,825,0,1
6,19,52,33,979,0,4
6,19,52,36,230,0,3
6,19,52,36,865,0,0
6,19,52,38,192,0,0
6,19,52,43,52,0,0
6,19,52,44,541,0,0
6,19,52,46,734,0,0
6,19,52,47,600,0,0
6,19,52,48,61,0,0
6,19,52,48,234,0,0
6,19,52,49,273,0,0
6,19,52,37,500,0,2
6,19,52,39,808,0,2
6,19,52,40,905,0,3
6,19,52,42,59,0,2
6,19,52,43,213,0,1
6,19,52,44,368,0,1
6,19,52,45,522,0,1
6,19,52,48,927,0,1
6,19,52,50,81,0,2
6,19,52,51,236,0,1
6,19,52,53,660,0,2
6,19,52,54,872,1,0
6,19,52,55,45,0,0
6,19,52,55,276,0,0
6,19,52,56,257,0,0
6,19,52,56,834,1,0
6,19,52,57,353,0,0
6,19,52,57,873,0,0
6,19,53,0,816,0,0
6,19,53,1,105,0,0
6,19,53,1,393,0,0
6,19,53,1,451,0,0
6,19,53,2,144,0,0
6,19,53,2,317,1,0
6,19,53,3,644,0,0
6,19,53,3,875,0,0
6,19,53,4,279,0,0
6,19,53,4,452,0,0
6,19,53,4,798,0,0
6,19,53,5,260,1,0
6,19,53,5,318,0,0
6,19,53,5,433,0,0
6,19,53,5,491,0,0
6,19,53,5,664,0,0
6,19,53,6,184,1,0
6,19,53,6,818,0,0
6,19,53,6,992,0,0
6,19,53,7,49,1,0
6,19,53,7,107,1,0
6,19,53,7,453,1,0
6,19,53,7,742,0,0
6,19,53,8,146,1,0
6,19,53,8,665,1,0
6,19,53,9,358,1,0
6,19,53,10,281,0,0
6,19,53,10,628,0,0
6,19,53,10,916,1,0
6,19,52,54,872,0,1
6,19,52,56,26,0,2
6,19,52,57,180,0,1
6,19,52,59,489,0,1
6,19,53,1,797,0,1
6,19,53,5,260,0,1
6,19,53,6,414,0,2
6,19,53,9,820,0,1
6,19,53,10,974,0,1
6,19,53,11,320,1,0
6,19,53,11,378,0,0
6,19,53,11,667,1,0
6,19,53,11,724,1,0
6,19,53,11,840,0,0
6,19,53,11,897,0,0
6,19,53,12,936,1,0
6,19,53,13,283,1,0
6,19,53,13,629,0,0
6,19,53,13,917,1,0
6,19,53,14,20,2,0
6,19,53,15,303,0,0
6,19,53,15,995,0,0
