"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","R4-Aegina","R5","Doliolids","Appendicularians","App in Hse","MUAT","LEMU","SPKO","Si 2 Eu","NABI","AGEL"
5,19,36,32,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,32,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,32,916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,33,89,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,33,320,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,33,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,33,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,33,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,33,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,33,724,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,19,36,33,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,33,897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,33,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,34,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,34,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,34,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
5,19,36,34,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,34,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,34,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,34,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,34,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,34,763,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
5,19,36,34,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,35,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,35,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,35,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
5,19,36,35,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,35,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,19,36,36,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
