downcast,hour,min,sec,s/1000,Type1,Type2,Type3,Type4,Type5,Type1_wotail,Type2_wotail,Type3_wotail
10,20,57,32,943,0,1,0,0,0,0,0,0
10,20,57,34,39,0,1,0,0,0,0,0,0
10,20,57,36,60,0,1,0,0,0,0,0,0
10,20,57,36,406,0,1,0,0,0,0,0,0
10,20,57,36,964,0,1,0,0,0,0,0,0
10,20,57,36,868,0,1,0,0,0,0,0,0
10,20,57,36,983,0,1,0,0,0,0,0,0
10,20,57,37,329,0,1,0,0,0,0,0,0
10,20,57,37,676,0,1,0,0,0,0,0,0
10,20,57,39,984,0,1,0,0,0,0,0,0
10,20,57,40,215,0,1,0,0,0,0,0,0
10,20,57,41,542,0,1,0,0,0,0,0,0
10,20,57,42,120,0,1,0,0,0,0,0,0
10,20,57,42,524,0,1,0,0,0,0,0,0
10,20,57,44,543,0,1,0,0,0,0,0,0
10,20,57,45,813,0,1,0,0,0,0,0,0
10,20,57,46,621,0,1,0,0,0,0,0,0
10,20,57,48,468,0,0,1,0,0,0,0,0
10,20,57,48,583,0,1,0,0,0,0,0,0
10,20,57,49,45,0,1,0,0,0,0,0,0
10,20,57,49,334,0,0,1,0,0,0,0,0
10,20,57,51,238,0,1,0,0,0,0,0,0
10,20,57,53,489,0,1,0,0,0,0,0,0
10,20,57,53,662,0,1,0,0,0,0,0,0
10,20,57,55,105,0,1,0,0,0,0,0,0
10,20,57,55,336,0,1,0,0,0,0,0,0
10,20,57,56,433,0,1,0,0,0,0,0,0
10,20,57,58,222,0,1,0,0,0,0,0,0
10,20,57,58,510,0,1,0,0,0,0,0,0
10,20,57,58,914,0,0,1,0,0,0,0,0
